READER_ID,ATD_SENSOR_ID,KITS_ID,ATD_LOCATION_ID,MODIFIED_DATE,SENSOR_STATUS,TURN_ON_DATE,SENSOR_TYPE,SENSOR_MFG,COA_INTERSECTION_ID,PRIMARY_ST_SEGMENT_ID,CROSS_ST_SEGMENT_ID,LANDMARK,PRIMARY_ST_AKA,CROSS_ST_AKA,SIGNAL_ENG_AREA,COUNCIL_DISTRICT,JURISDICTION,LOCATION_TYPE,LOCATION_NAME,PRIMARY_ST,CROSS_ST,PRIMARY_ST_BLOCK,COUNTY,CROSS_ST_BLOCK,Location,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,LOCATION_LATITUDE,LOCATION_LONGITUDE
,155,9,LOC16-004100,07/03/2017 03:42:00 PM +0000,TURNED_ON,06/17/2015 05:00:00 AM +0000,RADAR,Wavetronix,5149818,,,,,,NORTHWEST,10,,ROADWAY, CAPITAL OF TEXAS HWY / CEDAR ST, CAPITAL OF TEXAS HWY, CEDAR ST,3700,,6301,"(30.339468, -97.8035583)",ONLINE,06/06/2018 08:35:00 AM +0000,30.339468,-97.8035583
cesar_chavez_red_river,35,,LOC16-000755,,TURNED_ON,,BLUETOOTH,,5157601,,,,,,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / RED RIVER ST,CESAR CHAVEZ ST,RED RIVER ST,400,,96,"(30.2617817, -97.7387924)",OFFLINE,01/11/2018 03:35:00 PM +0000,30.2617817,-97.7387924
fm973_burleson,58,,LOC16-007015,,TURNED_ON,,BLUETOOTH,,5166040,,,,,,SOUTHEAST,2,,ROADWAY,FM 973 RD / BURLESON RD,FM 973 RD,BURLESON RD,6210,,10300,"(30.167316, -97.659321)",OFFLINE,03/04/2018 03:35:00 PM +0000,30.167316,-97.659321
burleson_emma_browning,16,,LOC16-002940,,TURNED_ON,,BLUETOOTH,,5165374,,,,,,SOUTHEAST,2,,ROADWAY,BURLESON RD / EMMA BROWNING AVE,BURLESON RD,EMMA BROWNING AVE,9609,,5201,"(30.1731625, -97.6705399)",ONLINE,03/29/2018 08:35:00 AM +0000,30.1731625,-97.6705399
riverside_montopolis,98,,LOC16-002695,,TURNED_ON,,BLUETOOTH,,5161846,,,,,,SOUTHWEST,3,,ROADWAY,RIVERSIDE DR / MONTOPOLIS DR,RIVERSIDE DR,MONTOPOLIS DR,6200,,1901,"(30.2249317, -97.7034378)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2249317,-97.7034378
wm_cannon_bluff_springs,132,,LOC16-002030,,TURNED_ON,,BLUETOOTH,,5153808,,,,,,SOUTHWEST,2,,ROADWAY,WILLIAM CANNON DR / BLUFF SPRINGS RD,WILLIAM CANNON DR,BLUFF SPRINGS RD,1616,,6601,"(30.1891956, -97.7678909)",ONLINE,03/29/2018 08:35:00 AM +0000,30.1891956,-97.7678909
cap_tx_hwy_westgate,30,,LOC16-002080,,TURNED_ON,,BLUETOOTH,,5150283,,,,,,SOUTHWEST,5,,ROADWAY,CAPITAL OF TEXAS HWY / WEST GATE BLVD,CAPITAL OF TEXAS HWY,WEST GATE BLVD,3800,,3901,"(30.2421951, -97.8011093)",ONLINE,05/09/2018 08:35:00 AM +0000,30.2421951,-97.8011093
,170,,LOC16-000980,08/01/2017 08:09:00 PM +0000,TURNED_ON,,BLUETOOTH,TrafficNet,5156706,,,,,,SOUTHEAST,2,,ROADWAY, PLEASANT VALLEY RD / WILLIAM CANNON DR, PLEASANT VALLEY RD, WILLIAM CANNON DR,6406,,5100,"(30.1796741, -97.7469025)",ONLINE,03/29/2018 08:35:00 AM +0000,30.1796741,-97.7469025
,190,,LOC17-012280,12/01/2017 10:45:00 PM +0000,TURNED_ON,05/05/2013 05:00:00 AM +0000,RADAR,Wavetronix,,,,,,,NORTHWEST,10,,ROADWAY,12018 BLK JOLLYVILLE RD, JOLLYVILLE RD,  ,12018,,,"(30.428004, -97.76059)",NO COMMUNICATION,12/02/2017 09:35:00 AM +0000,30.428004,-97.76059
,191,,LOC17-012285,12/01/2017 10:45:00 PM +0000,TURNED_ON,05/05/2013 05:00:00 AM +0000,RADAR,Wavetronix,,,,,,,NORTHEAST,7,,ROADWAY, LAMAR BLVD / CADDO ST, LAMAR BLVD, CADDO ST,11508,,601,"(30.385798, -97.68455)",NO COMMUNICATION,12/02/2017 09:35:00 AM +0000,30.385798,-97.68455
